0,2,203.00,183.00,278.00,216.00,0.760
0,2,91.00,172.00,220.00,222.00,0.925
0,2,1.00,180.00,111.00,233.00,0.951
1,2,186.00,180.00,274.00,217.00,0.810
1,2,0.00,180.00,80.00,237.00,0.923
1,2,60.00,172.00,199.00,227.00,0.944
2,2,0.00,184.00,39.00,242.00,0.841
2,2,162.00,181.00,256.00,220.00,0.913
2,2,20.00,173.00,176.00,233.00,0.923
3,2,0.00,171.00,150.00,237.00,0.918
3,2,139.00,180.00,238.00,223.00,0.926
4,2,110.00,180.00,218.00,227.00,0.937
4,2,0.00,172.00,119.00,241.00,0.953
5,2,0.00,171.00,87.00,245.00,0.914
5,2,77.00,182.00,195.00,228.00,0.936
6,2,0.00,170.00,46.00,242.00,0.896
6,2,41.00,176.00,173.00,229.00,0.938
7,2,3.00,177.00,146.00,231.00,0.932
8,2,1.00,179.00,117.00,233.00,0.926
9,2,1.00,175.00,88.00,235.00,0.865
10,2,719.00,174.00,734.00,185.00,0.302
12,2,716.00,177.00,731.00,188.00,0.493
13,2,716.00,175.00,732.00,187.00,0.743
14,2,717.00,173.00,731.00,184.00,0.462
15,2,0.00,139.00,59.00,252.00,0.367
15,2,715.00,171.00,731.00,183.00,0.584
16,2,713.00,171.00,731.00,183.00,0.710
17,2,712.00,173.00,728.00,185.00,0.719
18,2,711.00,173.00,728.00,185.00,0.703
19,2,709.00,171.00,726.00,184.00,0.784
20,2,709.00,170.00,726.00,182.00,0.795
21,2,708.00,170.00,724.00,182.00,0.777
22,2,709.00,172.00,725.00,185.00,0.770
23,2,708.00,172.00,724.00,185.00,0.768
24,2,710.00,174.00,724.00,186.00,0.706
25,2,710.00,176.00,727.00,189.00,0.777
26,2,711.00,178.00,729.00,192.00,0.833
27,2,710.00,175.00,729.00,191.00,0.817
28,2,713.00,175.00,730.00,188.00,0.740
29,2,609.00,171.00,628.00,185.00,0.335
29,2,714.00,171.00,731.00,185.00,0.773
30,2,714.00,170.00,731.00,184.00,0.836
31,2,714.00,170.00,733.00,185.00,0.833
32,2,601.00,171.00,621.00,184.00,0.433
32,2,715.00,171.00,734.00,186.00,0.827
33,2,598.00,172.00,621.00,186.00,0.733
33,2,717.00,173.00,736.00,187.00,0.736
34,2,595.00,173.00,621.00,187.00,0.574
34,2,718.00,171.00,738.00,187.00,0.881
35,2,591.00,172.00,615.00,188.00,0.775
35,2,718.00,172.00,737.00,188.00,0.853
36,2,718.00,170.00,737.00,186.00,0.829
36,2,588.00,170.00,612.00,186.00,0.830
37,2,583.00,170.00,608.00,185.00,0.754
37,2,718.00,169.00,738.00,186.00,0.864
38,2,718.00,170.00,738.00,188.00,0.859
38,2,579.00,172.00,604.00,187.00,0.866
39,2,875.00,160.00,912.00,175.00,0.263
39,2,717.00,172.00,737.00,188.00,0.796
39,2,572.00,172.00,600.00,188.00,0.831
40,2,567.00,171.00,596.00,187.00,0.838
40,2,717.00,171.00,737.00,189.00,0.841
41,2,717.00,171.00,738.00,189.00,0.850
41,2,561.00,171.00,590.00,187.00,0.857
42,2,717.00,172.00,738.00,190.00,0.836
42,2,554.00,171.00,586.00,189.00,0.889
43,2,551.00,172.00,580.00,188.00,0.715
43,2,717.00,173.00,737.00,190.00,0.822
44,2,717.00,174.00,737.00,191.00,0.807
44,2,542.00,175.00,573.00,191.00,0.815
45,2,716.00,175.00,738.00,192.00,0.839
45,2,535.00,175.00,570.00,193.00,0.881
46,2,880.00,167.00,925.00,182.00,0.331
46,2,717.00,175.00,739.00,194.00,0.837
46,2,527.00,178.00,563.00,195.00,0.843
47,2,520.00,177.00,556.00,196.00,0.880
47,2,716.00,176.00,740.00,195.00,0.881
48,2,511.00,177.00,550.00,197.00,0.867
48,2,717.00,176.00,740.00,194.00,0.881
49,2,888.00,165.00,931.00,182.00,0.597
49,2,501.00,177.00,542.00,199.00,0.876
49,2,716.00,175.00,740.00,195.00,0.895
50,2,833.00,168.00,873.00,183.00,0.286
50,2,892.00,163.00,936.00,180.00,0.688
50,2,491.00,176.00,535.00,199.00,0.810
50,2,714.00,173.00,740.00,196.00,0.917
